mun_noti,mun_infe,notifications,latitude_noti,longitude_noti,nome_noti,latitude_infe,longitude_infe,nome_infe
110001,110001,1345,-11.9283,-61.9953,Alta Floresta D'Oeste,-11.9283,-61.9953,Alta Floresta D'Oeste
110001,110002,16,-11.9283,-61.9953,Alta Floresta D'Oeste,-9.90571,-63.0325,Ariquemes
110001,110004,1,-11.9283,-61.9953,Alta Floresta D'Oeste,-11.4343,-61.4562,Cacoal
110001,110008,24,-11.9283,-61.9953,Alta Floresta D'Oeste,-12.4367,-64.228,Costa Marques
110001,110009,1,-11.9283,-61.9953,Alta Floresta D'Oeste,-11.5266,-61.0252,Espigão D'Oeste
110001,110010,5,-11.9283,-61.9953,Alta Floresta D'Oeste,-10.7889,-65.3296,Guajará-Mirim
110001,110011,3,-11.9283,-61.9953,Alta Floresta D'Oeste,-10.4318,-62.4788,Jaru
110001,110012,2,-11.9283,-61.9953,Alta Floresta D'Oeste,-10.8777,-61.9322,Ji-Paraná
110001,110013,14,-11.9283,-61.9953,Alta Floresta D'Oeste,-9.44363,-61.9818,Machadinho D'Oeste
110001,110014,2,-11.9283,-61.9953,Alta Floresta D'Oeste,-11.7247,-62.3127,Nova Brasilândia D'Oeste
110001,110020,255,-11.9283,-61.9953,Alta Floresta D'Oeste,-8.76077,-63.8999,Porto Velho
110001,110025,1,-11.9283,-61.9953,Alta Floresta D'Oeste,-11.169,-61.8986,Presidente Médici
110001,110028,2,-11.9283,-61.9953,Alta Floresta D'Oeste,-11.7271,-61.7714,Rolim de Moura
110001,110029,2,-11.9283,-61.9953,Alta Floresta D'Oeste,-11.9074,-61.7777,Santa Luzia D'Oeste
110001,110030,1,-11.9283,-61.9953,Alta Floresta D'Oeste,-12.7502,-60.1488,Vilhena
110001,110032,2,-11.9283,-61.9953,Alta Floresta D'Oeste,-11.6953,-62.7192,São Miguel do Guaporé
110001,110033,8,-11.9283,-61.9953,Alta Floresta D'Oeste,-10.4077,-65.3346,Nova Mamoré
110001,110037,26,-11.9283,-61.9953,Alta Floresta D'Oeste,-12.132,-61.835,Alto Alegre dos Parecis
110001,110040,6,-11.9283,-61.9953,Alta Floresta D'Oeste,-9.71429,-63.3188,Alto Paraíso
110001,110045,61,-11.9283,-61.9953,Alta Floresta D'Oeste,-10.1943,-63.8324,Buritis
110001,110050,2,-11.9283,-61.9953,Alta Floresta D'Oeste,-11.6961,-61.9951,Novo Horizonte do Oeste
110001,110070,1,-11.9283,-61.9953,Alta Floresta D'Oeste,-10.5712,-63.6266,Campo Novo de Rondônia
110001,110080,41,-11.9283,-61.9953,Alta Floresta D'Oeste,-8.7907,-63.7005,Candeias do Jamari
110001,110090,1,-11.9283,-61.9953,Alta Floresta D'Oeste,-11.4253,-61.9482,Castanheiras
110001,110092,1,-11.9283,-61.9953,Alta Floresta D'Oeste,-12.5611,-60.8877,Chupinguaia
110001,110094,4,-11.9283,-61.9953,Alta Floresta D'Oeste,-9.36065,-62.5846,Cujubim
